,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,Modifiers
0,Tunnel_FB_2025_10_02_JH_JD_Annie4_18-50-55,722.7992600069707,43368,752.7992292933695,45168.0,Annie4,man_check_duration,man_check_duration,,,,
1,Tunnel_FB_2025_10_02_JH_JD_Annie4_18-50-55,724.3992583689119,43464,725.8659235340248,43552.0,Annie4,latency,latency,,,,
2,Tunnel_FB_2025_10_03_JH_JD_Peanut3_14-34-34,909.4328140821157,54566,939.4327969532774,56366.0,Peanut3,man_check_duration,man_check_duration,,,,
3,Tunnel_FB_2025_10_03_JH_JD_Peanut3_14-34-34,910.0828137109909,54605,930.8328018635443,55850.0,Peanut3,latency,latency,,,,
4,Tunnel_FB_2025_09_30_JD_JH_Oscar6_10-31-37,913.3830771564423,54803,943.3164020943648,56599.0,Oskar6,man_check_duration,man_check_duration,,,,
5,Tunnel_FB_2025_09_30_JD_JH_Oscar6_10-31-37,914.9830767076897,54899,929.2997393589567,55758.0,Oskar6,latency,latency,,,,
6,Tunnel_FB_2025_04_23_FL_JAS_Ruby3_13-13-46,961.1830519060788,57671,991.1830431223044,59471.0,Ruby3,man_check_duration,man_check_duration,,,,
7,Tunnel_FB_2025_04_23_FL_JAS_Ruby3_13-13-46,962.5830514961694,57755,978.0330469725255,58682.0,Ruby3,latency,latency,,,,
8,Tunnel_FB_2025_06_18_JH_JAS_Vanilla2_09-22-11,1336.5330269972928,80192,1366.5330201212344,81992.0,Vanilla2,man_check_duration,man_check_duration,,,,
9,Tunnel_FB_2025_06_18_JH_JAS_Vanilla2_09-22-11,1337.5496934309374,80253,1347.1496912305988,80829.0,Vanilla2,latency,latency,,,,
10,Tunnel_FB_2025_05_08_FL_JAS_Leo5_13-49-15,751.5666666666667,45094,781.5666666666667,46894.0,Leo5,man_check_duration,man_check_duration,,,,
11,Tunnel_FB_2025_05_08_FL_JAS_Leo5_13-49-15,753.0333333333333,45182,781.5666666666667,46894.0,Leo5,latency,latency,,,,
12,Tunnel_FB_2025_04_23_SV_JAS_Freddie_15-45-33,954.5666666666667,57274,984.5666666666667,59074.0,Freddie,man_check_duration,man_check_duration,,,,
13,Tunnel_FB_2025_04_23_SV_JAS_Freddie_15-45-33,955.2,57312,965.4666666666667,57928.0,Freddie,latency,latency,,,,
14,Tunnel_FB_2025_05_14_JAS_SV_Ginny_11-32-09,820.75,49245,850.75,51045.0,Ginny,man_check_duration,man_check_duration,,,,
15,Tunnel_FB_2025_05_14_JAS_SV_Ginny_11-32-09,821.0166666666667,49261,822.4333333333333,49346.0,Ginny,latency,latency,,,,
16,Tunnel_FB_2025_05_19_JH_JAS_Abby7_13-51-55,978.9833333333333,58739,1008.9833333333333,60539.0,Abby7,man_check_duration,man_check_duration,,,,
17,Tunnel_FB_2025_05_19_JH_JAS_Abby7_13-51-55,979.3833333333333,58763,984.7833333333333,59087.0,Abby7,latency,latency,,,,
18,Tunnel_FB_2025_05_08_FL_JAS_Napo_14-07-07,774.8827711718907,46493,804.8827494075261,48293.0,Napo,man_check_duration,man_check_duration,,,,
19,Tunnel_FB_2025_05_08_FL_JAS_Napo_14-07-07,776.3994367382478,46584,804.8827494075261,48293.0,Napo,latency,latency,,,,
20,Tunnel_FB_2025_05_14_JAS_SV_Kobe2_14-45-49,657.2,39432,687.2,41232.0,Kobe2,man_check_duration,man_check_duration,,,,
21,Tunnel_FB_2025_05_14_JAS_SV_Kobe2_14-45-49,658.4666666666667,39508,687.2,41232.0,Kobe2,latency,latency,,,,
22,Tunnel_FB_2025_05_02_JAS_FL_Hunter2_11-33-33,651.5330662960245,39092,681.5330540002311,40892.0,Hunter2,man_check_duration,man_check_duration,,,,
23,Tunnel_FB_2025_05_02_JAS_FL_Hunter2_11-33-33,651.7163995542169,39103,681.5330540002311,40892.0,Hunter2,latency,latency,,,,
24,Tunnel_FB_2025_05_19_JH_JAS_Angus_12-40-09,1043.532540059946,62612,1073.53251725454,64412.0,Angus,man_check_duration,man_check_duration,,,,
25,Tunnel_FB_2025_05_19_JH_JAS_Angus_12-40-09,1044.6158725697508,62677,1047.1825372852884,62831.0,Angus,latency,latency,,,,
26,Tunnel_FB_2025_05_19_JH_JAS_Agent_13-26-13,1246.399139323562,74784,1276.3991186076655,76584.0,Agent,man_check_duration,man_check_duration,,,,
27,Tunnel_FB_2025_05_19_JH_JAS_Agent_13-26-13,1246.8824723231392,74813,1262.3657949647682,75742.0,Agent,latency,latency,,,,
28,Tunnel_FB_2025_05_02_JAS_SV_Ragnar_11-00-55,791.3325488775962,47480,821.3325191383307,49280.0,Ragnar,man_check_duration,man_check_duration,,,,
29,Tunnel_FB_2025_05_02_JAS_SV_Ragnar_11-00-55,791.7325484810726,47504,795.4492114633747,47727.0,Ragnar,latency,latency,,,,
30,Tunnel_FB_2025_05_22_JAS_FL_Nuala2_13-00-21,781.95,46917,811.95,48717.0,Nuala2,man_check_duration,man_check_duration,,,,
31,Tunnel_FB_2025_05_22_JAS_FL_Nuala2_13-00-21,784.5166666666667,47071,811.95,48717.0,Nuala2,latency,latency,,,,
32,Tunnel_FB_2025_06_16_JAS_FL_Asha_16-30-03,599.2830611239659,35957,629.2830474972212,37757.0,Asha,man_check_duration,man_check_duration,,,,
33,Tunnel_FB_2025_06_16_JAS_FL_Asha_16-30-03,599.8663941923348,35992,629.2830474972212,37757.0,Asha,latency,latency,,,,
34,Tunnel_FB_2025_05_30_JAS_JH_Ellie4_13-23-01,880.6333333333333,52838,910.6333333333333,54638.0,Ellie4,man_check_duration,man_check_duration,,,,
35,Tunnel_FB_2025_05_30_JAS_JH_Ellie4_13-23-01,881.3,52878,892.2333333333333,53534.0,Ellie4,latency,latency,,,,
36,Tunnel_FB_2025_06_02_FL_JAS_Moon2_11-39-12,966.5166666666667,57991,996.5166666666667,59791.0,Moon2,man_check_duration,man_check_duration,,,,
37,Tunnel_FB_2025_06_02_FL_JAS_Moon2_11-39-12,967.5166666666667,58051,969.8833333333333,58193.0,Moon2,latency,latency,,,,
38,Tunnel_FB_2025_05_21_FL_JAS_Lina6_16-27-56,663.0330545990939,39782,693.0330419873189,41582.0,Lina6,man_check_duration,man_check_duration,,,,
39,Tunnel_FB_2025_05_21_FL_JAS_Lina6_16-27-56,663.4997210695774,39810,670.8497179796925,40251.0,Lina6,latency,latency,,,,
40,Tunnel_FB_2025_05_21_JAS_FL_Louie4_16-51-05,727.4666666666667,43648,757.4666666666667,45448.0,Louie4,man_check_duration,man_check_duration,,,,
41,Tunnel_FB_2025_05_21_JAS_FL_Louie4_16-51-05,727.7166666666667,43663,732.55,43953.0,Louie4,latency,latency,,,,
