,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,Modifiers
0,Tunnel_FB_2025_04_23_FL_JAS_Ruby3_13-13-46,961.1663852442921,57670,989.8497101793611,59391.0,Ruby3,man_check_duration,man_check_duration,,,,
1,Tunnel_FB_2025_04_23_FL_JAS_Ruby3_13-13-46,962.5830514961694,57755,978.0330469725255,58682.0,Ruby3,latency,latency,,,,
2,Tunnel_FB_2025_05_02_JAS_FL_Hunter2_11-33-33,651.5497329558601,39093,682.6830535288923,40961.0,Hunter2,man_check_duration,man_check_duration,,,,
3,Tunnel_FB_2025_05_02_JAS_FL_Hunter2_11-33-33,651.7163995542169,39103,682.6663868690566,40960.0,Hunter2,latency,latency,,,,
4,Tunnel_FB_2025_04_23_SV_JAS_Freddie_15-45-33,954.7166666666667,57283,983.7666666666667,59026.0,Freddie,man_check_duration,man_check_duration,,,,
5,Tunnel_FB_2025_04_23_SV_JAS_Freddie_15-45-33,955.2,57312,965.4666666666667,57928.0,Freddie,latency,latency,,,,
6,Tunnel_FB_2025_05_02_JAS_SV_Ragnar_11-00-55,791.2158823265822,47473,826.5825139339591,49595.0,Ragnar,man_check_duration,man_check_duration,,,,
7,Tunnel_FB_2025_05_02_JAS_SV_Ragnar_11-00-55,791.7325484810726,47504,795.4492114633747,47727.0,Ragnar,latency,latency,,,,
8,Tunnel_FB_2025_05_08_FL_JAS_Leo5_13-49-15,751.5166666666667,45091,775.45,46527.0,Leo5,man_check_duration,man_check_duration,,,,
9,Tunnel_FB_2025_05_08_FL_JAS_Leo5_13-49-15,753.0333333333333,45182,775.3666666666667,46522.0,Leo5,latency,latency,,,,
10,Tunnel_FB_2025_05_08_FL_JAS_Napo_14-07-07,774.7994378990139,46488,807.9827471585419,48479.0,Napo,man_check_duration,man_check_duration,,,,
11,Tunnel_FB_2025_05_08_FL_JAS_Napo_14-07-07,776.3994367382478,46584,804.8660827529508,48292.0,Napo,latency,latency,,,,
12,Tunnel_FB_2025_05_14_JAS_SV_Ginny_11-32-09,820.8166666666667,49249,853.85,51231.0,Ginny,man_check_duration,man_check_duration,,,,
13,Tunnel_FB_2025_05_14_JAS_SV_Ginny_11-32-09,821.0166666666667,49261,822.4333333333333,49346.0,Ginny,latency,latency,,,,
14,Tunnel_FB_2025_05_14_JAS_SV_Kobe2_14-45-49,657.3833333333333,39443,690.1333333333333,41408.0,Kobe2,man_check_duration,man_check_duration,,,,
