dog_ID,CDL_name,sex,castrated,test_date,birth_date,age_months,breed,FCI_group,experience_in_dog_sports,condition,set_up,first_baited_bucket,first_trial_second_fam,first_trial_third_fam,number_trials_fam_phase1,number_trials_fam_phase2,number_trials_fam_phase3,tot_nr_trials_fam,communicator,hider,no_choice_trials,first_choice_letter,first_touch_letter,man_check_approach_tunnel,man_check_eyes_above_barrier,notes
1,Hago,M,no,27/5/2025,10/5/2014,132,border_terrier,3,NA,false_belief,right,blue,displacement,displacement,2,3,2,7,JAS,FL,,B,B,1,0,
2,Aaron2,M,yes,02/06/2025,29/05/2021,48,vizsla,7,NA,false_belief,right,blue,no_displacement,no_displacement,2,2,2,6,FL,JAS,,B,B,0,0,
3,Leo5,M,no,8/5/2025,10/6/2021,46,australian_shepherd,1,"Obiedience, BGH",false_belief,right,blue,no_displacement,displacement,2,2,2,6,FL,JAS,,A,A,0,0,
4,Kimi2,F,yes,16/6/2025,26/8/2021,45,golden_retriever,8,"Nasenarbeit, Mantrailing ",false_belief,right,blue,displacement,no_displacement,2,2,2,6,JAS,FL,,A,A,0,0,"Just before the final trial the dog got loose, the tunnel was obscured by the communicator blocking it and the dog seemed more focussed on the hider. It did not seem like the dog saw the inside of the tunnel and the trial was continued."
5,Asha,F,no,16/6/2025,29/12/2016,101,rhodesian_ridgeback,6,"BGH, agility",false_belief,right,blue,displacement,displacement,2,2,2,6,JAS,FL,,A,A,0,0,"Recording started after the practice with the cups, The foam was removed from the cups because she tried to eat it."
6,Quentin3,M,no,19/6/2025,15/3/2019,75,golden_retriever,8,"Wiener Hundeführschein, BH, Verkehrstest, BGH3, Retriever Basisprüfungen, Gehorsams u. Apportierprüfungen",false_belief,right,blue,no_displacement,no_displacement,2,4,2,8,FL,JAS,,A,A,0,0,
7,Aoife,F,yes,19/6/2025,21/3/2013,146,irish_glen_of_imaal_terrier,3,NA,false_belief,right,blue,no_displacement,displacement,2,2,4,8,JAS,FL,,A,A,0,0,Seemed to have a preference for cup a during the trials
8,Leia5,F,yes,23/6/2025,17/7/2017,95,labrador_retriever,8,NA,false_belief,right,blue,displacement,no_displacement,2,4,2,8,FL,JAS,,A,A,0,0,
9,Abby5,F,no,9/7/2025,19/8/2021,46,miniature_muensterlaender,7,NA,false_belief,right,blue,displacement,displacement,2,2,2,6,JH,JAS,,A,A,0,0,
10,Milow5,M,yes,9/7/2025,17/3/2020,63,labrador_retriever,8,NA,false_belief,right,blue,no_displacement,no_displacement,2,2,2,6,JAS,JH,,A,A,0,0,
11,Oskar6,M,yes,30/9/2025,21/2/2017,103,fox_terrier,3,"BGHA, BGH1, Rettungshundeprüfung",false_belief,right,blue,no_displacement,displacement,2,2,2,6,JD,JH,,A,A,1,0,
12,Peanut3,M,no,3/10/2025,12/5/2024,16,beagle,6,NA,false_belief,right,blue,displacement,no_displacement,2,3,2,7,JH,JD,,A,A,1,1,Restart trial 6
13,Benny7,M,no,15/10/2025,28/6/13,147,border_collie,1,"Welpenkurs, BGH, Obedience, Agility, Dummy Training, Hütehundausbildung",false_belief,right,blue,displacement,displacement,2,3,2,7,JH,JD,,B,B,1,0,Dog can not sit because of operation -  stands in the middle
14,Wendy,F,no,27/10/2025,21/4/2022,42,whippet,10,NA,false_belief,right,blue,no_displacement,no_displacement,2,2,2,6,JD,JH,,B,B,1,0,own food
15,Maybe,F,yes,28/10/2025,11/6/2018,88,parson_russell_terrier,3,"Rettungshundeprüfung, Agility, Rally Obedience",false_belief,right,blue,no_displacement,displacement,3,2,2,7,JH,JD,,B,B,1,0,
16,Louie4,M,yes,21/5/2025,24/5/2015,119,miniature_pinscher,2,NA,false_belief,right,grey,displacement,no_displacement,4,2,2,8,JAS,FL,,A,A,1,0,
17,Kukie,F,no,30/5/2025,17/9/2021,44,border_terrier,3,NA,false_belief,right,grey,no_displacement,displacement,2,3,4,9,JH,JAS,,B,B,1,0,
18,Toffee6,F,no,30/5/2025,10/10/2023,19,golden_retriever,8,NA,false_belief,right,grey,displacement,no_displacement,4,2,4,10,JH,JAS,,A,A,0,0,needed help with getting the treat in trial 6 & 10. Video has two parts
19,Moon2,F,no,2/6/2025,31/10/2021,43,australian_shepherd,1,NA,false_belief,right,grey,no_displacement,no_displacement,2,3,2,7,FL,JAS,,B,B,1,0,communicator removed bucket in trial 3 instead of hider
20,Pasha,M,no,12/6/2025,1/4/2023,26,golden_retriever,8,NA,false_belief,right,grey,displacement,displacement,3,2,2,7,JAS,FL,,A,A,1,0,
21,Paddy,M,no,25/6/2025,18/3/2017,99,irish_red_and_white_setter,7,"Wesenstest, Field Trial Solo: vorzüglich, 8x Derby Solo",false_belief,right,grey,no_displacement,displacement,2,2,2,6,JAS,JH,,A,A,1,1,
22,Abby4,F,yes,9/7/2025,27/4/2019,74,labrador_retriever,8,Therapy dog,false_belief,right,grey,displacement,no_displacement,2,2,2,6,JH,JAS,,A,A,1,0,
23,Leibnitz,M,no,18/11/2025,9/5/2024,18,beagle,6,NA,false_belief,right,grey,no_displacement,no_displacement,4,2,2,8,JD,JH,,A,A,1,1,
24,Cody4,M,yes,16/7/2025,25/5/2019,73,australian_shepherd,1,"Rally Obedience, BH, Verkehrstest",false_belief,right,grey,displacement,displacement,2,2,2,6,JAS,JH,,A,A,1,0,
25,Toffee5,F,yes,21/7/2025,24/8/2019,70,bernese_mountain_dog,2,BGH1,false_belief,right,grey,no_displacement,displacement,4,2,2,8,JH,JAS,,A,A,0,0,
26,Balu3,M,no,3/10/2025,16/7/2018,86,border_collie,1,NA,false_belief,right,grey,displacement,no_displacement,2,2,2,6,JD,JH,,B,B,0,0,
27,Anuk2,M,yes,7/10/2025,22/1/2015,128,australian_shepherd,1,"Wiener Hundeführschein, BH, BGH1, BGH2, Geprüfter Stadthund",false_belief,right,grey,no_displacement,no_displacement,2,2,2,6,JD,JH,,A,A,1,0,"dog ran to communicator before choosing the bucket in trial 4, redone the final test bc owner let the dog go too early"
28,Cindy8,F,yes,27/10/2025,23/5/2018,89,jack_russell_terrier,3,Klicker Training,false_belief,right,grey,displacement,displacement,2,2,2,6,JD,JH,,B,B,1,0,
29,Lottie2,F,no,29/10/2025,17/5/2018,89,parson_russell_terrier,3,"Agility, Scent detection, ""Social Walk Freilaufgruppe""",false_belief,right,grey,no_displacement,displacement,3,4,2,9,JH,JD,,B,B,1,0,Without foam
30,Franziska,F,no,18/11/2025,23/11/2013,143,parson_russell_terrier,3,Jagdtraining,false_belief,right,grey,displacement,no_displacement,2,2,2,6,JD,JH,,A,A,1,0,own food
31,Hunter2,M,no,25/4/2025,23/4/2022,36,bedlington_terrier,3,Agility,false_belief,left,blue,no_displacement,no_displacement,2,2,2,6,JAS,FL,,A,A,0,0,
32,Ruby3,F,no,23/4/2025,3/7/2012,153,australian_shepherd,1,"Rettingshund, Obedience, Agility",false_belief,left,blue,no_displacement,displacement,2,2,2,6,FL,JAS,,A,A,1,0,
33,Aramis8,M,no,20/5/2025,6/7/2021,46,wolfspitz,5,"Bgh, Rallyobedience, Obedience",false_belief,left,blue,displacement,no_displacement,2,2,2,6,JAS,JH,,A,A,0,0,
34,Bruno2,M,no,26/5/2025,12/02/2015,123,beagle,6,NA,false_belief,left,blue,displacement,displacement,4,2,2,8,JAS,FL,,A,A,0,0,
35,Madlain,F,yes,30/5/2025,17/1/2016,112,border_terrier,3,NA,false_belief,left,blue,no_displacement,no_displacement,2,2,3,7,JAS,JH,,B,B,1,0,
36,Agent,M,no,19/5/2025,6/5/2024,12,border_terrier,3,NA,false_belief,left,blue,no_displacement,displacement,4,2,2,8,JH,JAS,,B,B,1,0,
37,Lieserl,F,no,5/6/2025,7/4/2015,121,border_collie,1,NA,false_belief,left,blue,displacement,no_displacement,2,3,2,7,JAS,JH,,B,B,0,0,
38,Ivy6,F,yes,19/6/2025,1/6/2021,48,australian_shepherd,1,"Agility, Training to be a therapy dog",false_belief,left,blue,displacement,displacement,2,2,2,6,JAS,JH,,A,A,0,0,
39,Willi2,M,yes,1/7/2025,1/12/2022,31,labrador_retriever,8,NA,false_belief,left,blue,no_displacement,no_displacement,2,2,2,6,JH,JAS,,A,A,1,0,did not get the treat in trial 1
40,Ibsen,M,no,7/7/2025,22/10/2023,20,australian_shepherd,1,NA,false_belief,left,blue,no_displacement,displacement,3,2,2,7,JAS,FL,,A,A,1,1,
41,Milo7,M,no,16/7/2025,20/4/2019,74,australian_shepherd,1,"Agility, Therapiehund",false_belief,left,blue,displacement,no_displacement,2,2,2,6,JH,JAS,,A,A,0,0,dog snifted the grey cup before trial 4 started
42,Henri,M,no,18/7/2025,31/12/2023,18,border_collie,1,NA,false_belief,left,blue,displacement,displacement,2,2,2,6,JAS,JH,,A,A,0,1,
43,Magic4,M,yes,18/7/2025,23/8/2019,70,labrador_retriever,8,NA,false_belief,left,blue,no_displacement,no_displacement,2,2,2,6,JAS,JH,,B,B,0,0,
44,Anuk,M,yes,20/10/2025,22/1/2015,128,border_collie,1,"BH, BGH1, BGH2",false_belief,left,blue,no_displacement,displacement,2,2,2,6,JD,JH,,A,A,0,0,
45,Pepi,M,no,10/10/2025,27/03/2023,30,spitz,5,NA,false_belief,left,blue,displacement,no_displacement,3,3,2,8,JH,JD,,B,B,1,0,"Dog ran during fam. phase 1, during displacement "
46,Barney2,M,yes,23/10/2025,01/10/2012,156,parson_russell_terrier,3,NA,false_belief,left,grey,displacement,displacement,2,2,2,6,JH,JD,,A,A,1,0,
